DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId,,exist in zotero,pages
10.1016/J.ESWA.2019.06.060,Hierarchical time series forecasting via Support Vector Regression in the European Travel Retail Industry,"Juan Pablo Karmy, Sebastián Maldonado",Expert systems with applications,2019,"Abstract   Times series often offers a natural disaggregation in a hierarchical structure. For example, product sales can come from different cities, districts, or states; or be grouped by categories and subcategories. This hierarchical structure can be useful for improving the forecast, and this strategy is known as hierarchical time series (HTS) analysis. In this work, a novel strategy for sales forecasting is proposed using Support Vector Regression (SVR) and hierarchical time series. We formalize three different hierarchical time series approaches: bottom-up SVR, top-down SVR, and middle-out SVR, and use them in a sales forecasting project for the Travel Retail Industry. Various hierarchical structures are proposed for the retail industry in order to achieve accurate product-level predictions. Experiments on these datasets demonstrate the virtues of SVR-based hierarchical time series in terms of predictive performance when compared with the traditional ARIMA and Holt-Winters approaches for this task.",cfedf62d-5860-46f5-af2c-0fa94e0b7e03,71,28,(missing PubMedId),,yes,15
(missing DOI),Coherent Probabilistic Forecasts for Hierarchical Time Series.,"Souhaib Ben Taieb, James W. Taylor, Rob Hyndman",(missing journal),2017,"Many applications require forecasts for a hierarchy comprising a set of time series along with aggregates of subsets of these series. Hierarchical forecasting require not only good prediction accuracy at each level of the hierarchy, but also the coherency between different levels — the property that forecasts add up appropriately across the hierarchy. A fundamental limitation of prior research is the focus on forecasting the mean of each time series. We consider the situation where probabilistic forecasts are needed for each series in the hierarchy, and propose an algorithm to compute predictive distributions rather than mean forecasts only. Our algorithm has the advantage of synthesizing information from different levels in the hierarchy through a sparse forecast combination and a probabilistic hierarchical aggregation. We evaluate the accuracy of our forecasting algorithm on both simulated data and large-scale electricity smart meter data. The results show consistent performance gains compared to state-of-the art methods.",5020f282-3f37-462b-b561-d052267c2f9d,6,0,(missing PubMedId),,Douplicate,
(missing DOI),End-to-End Learning of Coherent Probabilistic Forecasts for Hierarchical Time Series,"Syama Sundar Rangapuram, Lucien Werner, Konstantinos Benidis, Pedro Mercado, Jan Gasthaus, Tim Januschowski",International Conference on Machine Learning,2021,(missing abstract),61f7aa14-3d6a-40d1-83dd-e96b9173ca36,93,66,(missing PubMedId),,yes,12
10.1109/TVCG.2018.2796591,MultiStream: A Multiresolution Streamgraph Approach to Explore Hierarchical Time Series,"Erick Cuenca, Arnaud Sallaberry, Florence Y. Wang, Pascal Poncelet",IEEE Transactions on Visualization and Computer Graphics,2018,"Multiple time series are a set of multiple quantitative variables occurring at the same interval. They are present in many domains such as medicine, finance, and manufacturing for analytical purposes. In recent years, streamgraph visualization (evolved from ThemeRiver) has been widely used for representing temporal evolution patterns in multiple time series. However, streamgraph as well as ThemeRiver suffer from scalability problems when dealing with several time series. To solve this problem, multiple time series can be organized into a hierarchical structure where individual time series are grouped hierarchically according to their proximity. In this paper, we present a new streamgraph-based approach to convey the hierarchical structure of multiple time series to facilitate the exploration and comparisons of temporal evolution. Based on a focus+context technique, our method allows time series exploration at different granularities (e.g., from overview to details). To illustrate our approach, two usage examples are presented.",7314ffcf-76bf-4b2f-8c4e-cccfd91e6e27,55,36,https://pubmed.ncbi.nlm.nih.gov/29994422,,yes,15
10.1016/J.IJFORECAST.2022.07.004,Machine learning applications in hierarchical time series forecasting: Investigating the impact of promotions,"Mahdi Abolghasemi, Garth Tarr, Christoph Bergmeir,  Mahdi Abolghasemi,  Garth Tarr,  Christoph Bergmeir",International Journal of Forecasting,2022,"Hierarchical forecasting is needed in many situations in the supply chain to support decision making. Top-down, bottom-up, and optimal linear combination methods are common in hierarchical forecasting. There is no universally optimal solution for hierarchical forecasting, and each method has some advantages and disadvantages. While top-down and bottom-up methods use only the information at the top and bottom levels, respectively, linear combinations use the individual sales forecasts from all series and levels and combine them linearly, often outperforming the conventional top-down and bottom-up methods. These methods do not directly utilise the explanatory information such as price and promotion status that may be available across different levels in the hierarchy, and their performance may be impacted by these external factors. We propose to use a multi-output regression model that utilises the explanatory variables from across hierarchical levels to simultaneously generate forecasts for all the series at the bottom level. We perform an in-depth analysis of 55 sets of fast-moving consumer goods time series and 3049 products of the M5 forecasting competition data. Our results show that our proposed algorithm effectively utilises explanatory variables from across the hierarchy to generate reliable forecasts for different hierarchical levels, especially in the presence of deep promotional discounts.",12a99ec9-b457-4054-8654-217706094a3c,27,44,(missing PubMedId),,yes,19
10.3390/EN13143722,Forecasting Hierarchical Time Series in Power Generation,"Tiago Silveira Gontijo, Marcelo Azevedo Costa",Energies,2020,"Academic attention is being paid to the study of hierarchical time series. Especially in the electrical sector, there are several applications in which information can be organized into a hierarchical structure. The present study analyzed hourly power generation in Brazil (2018–2020), grouped according to each of the electrical subsystems and their respective sources of generating energy. The objective was to calculate the accuracy of the main measures of aggregating and disaggregating the forecasts of the Autoregressive Integrated Moving Average (ARIMA) and Error, Trend, Seasonal (ETS) models. Specifically, the following hierarchical approaches were analyzed: (i) bottom-up (BU), (ii) top-down (TD), and (iii) optimal reconciliation. The optimal reconciliation models showed the best mean performance, considering the primary predictive windows. It was also found that energy forecasts in the South subsystem presented greater inaccuracy compared to the others, which signals the need for individualized models for this subsystem.",4f1f9b96-6f2a-4c63-9c62-71be1e6d3d15,19,44,(missing PubMedId),,yes,17
10.1609/AAAI.V31I1.11167,Regularization in Hierarchical Time Series Forecasting with Application to Electricity Smart Meter Data,"Souhaib Ben Taieb, Jiafan Yu, Mateus Barreto, Ram Rajagopal",AAAI Conference on Artificial Intelligence,2017,"
 
 Accurate electricity demand forecast plays a key role in sustainable power systems. It enables better decision making in the planning of electricity generation and distribution for many use cases. The electricity demand data can often be represented in a hierarchical structure. For example, the electricity consumption of a whole country could be disaggregated by states, cities, and households. Hierarchical forecasts require not only good prediction accuracy at each level of the hierarchy, but also the consistency between different levels. State-of-the-art hierarchical forecasting methods usually apply adjustments on the individual level forecasts to satisfy the aggregation constraints. However, the high-dimensionality of the unpenalized regression problem and the estimation errors in the high-dimensional error covariance matrix can lead to increased variability in the revised forecasts with poor prediction performance. In order to provide more robustness to estimation errors in the adjustments, we present a new hierarchical forecasting algorithm that computes sparse adjustments while still preserving the aggregation constraints. We formulate the problem as a high-dimensional penalized regression, which can be efficiently solved using cyclical coordinate descent methods. We also conduct experiments using a large-scale hierarchical electricity demand data. The results confirm the effectiveness of our approach compared to state-of-the-art hierarchical forecasting methods, in both the sparsity of the adjustments and the prediction accuracy. The proposed approach to hierarchical forecasting could be useful for energy generation including solar and wind energy, as well as numerous other applications.
 
",a65b2ae4-e3f4-418d-b731-c66129bd2684,36,40,(missing PubMedId),,yes,7
10.1007/978-981-10-6364-0_27,Hierarchical Time Series Feature Extraction for Power Consumption Anomaly Detection,"Zhiyou Ouyang, Xiaokui Sun, Dong Yue",Communications in computer and information science,2017,"Anomaly of power consumption, particularly due to electricity stealing, has been one of the major concern in power system management for a long time, which may destroy the demand-supply balance and lead to power grid regulating issues and huge profit reduction of electricity companies. One of the essential key to develop machine learning model to solve the above problems is time series feature extraction, which may affect the superior limit of machine learning model. In this paper, a novel systematic time series feature extraction method named hierarchical time series feature extraction is proposed, used for supervised binary classification model that only using user registration information and daily power consumption data, to detect anomaly consumption user with an output of stealing probability. Performance on data of over 100,000 customers shows that the proposed methods are outperforming one of the existing state-of-the-art time series feature extraction library tsfresh [1].",8b9c9c4f-e371-4183-9605-abc94dbef15a,21,16,(missing PubMedId),,no,
10.1109/TSG.2023.3237965,Hierarchical Time-Series Assessment and Control for Transient Stability Enhancement in Islanded Microgrids,"Yang Shen, Yelun Peng, Zhikang Shuai, Quan Zhou, Lipeng Zhu, Z. John Shen, Mohammad Shahidehpour",IEEE Transactions on Smart Grid,2023,"The grid-forming converters would integrate battery energy storage systems (BESSs) in islanded microgrids for smoothing out the uncertain fluctuations of renewable energy resources. However, gird-forming converters would pose transient instability risks under large disturbances, which could require fast and accurate stability assessment methods in such challenging and uncertain cases. In this work, a hierarchical time-series assessment and control (HTSAC) framework is proposed for assessing the transient stability of grid-forming converters in islanded microgrids. The proposed HTSAC framework offers a gated recurrent unit (GRU) neural network alternative for an intuitive and accurate trajectory prediction in early post-fault stages. Subsequently, an emergency ride-through control (ERC) strategy is proposed which leverages the proposed neural network approach for enhancing the prediction results in real-time assessments of microgrid transient stability. The initial input horizon of GRU is optimized to avoid intense trial-and-error design burdens incurred in conventional data-driven assessment methods. Simulation and experimental results are presented to validate the effectiveness of the proposed HTSAC on an islanded microgrid in south China. The results also point out that the GRU of the prediction layer with a quantile loss function would ensure a timely ERC in the proposed HTSAC approach to renewable energy-based converter operations.",c8de7c5e-be93-48c6-9daa-99278ae94011,21,47,(missing PubMedId),,yes,13
10.3390/S21134379,Deep LSTM-Based Transfer Learning Approach for Coherent Forecasts in Hierarchical Time Series,"Alaa Sagheer, Hala Hamdoun, Hassan Youness",Italian National Conference on Sensors,2021,"Hierarchical time series is a set of data sequences organized by aggregation constraints to represent many real-world applications in research and the industry. Forecasting of hierarchical time series is a challenging and time-consuming problem owing to ensuring the forecasting consistency among the hierarchy levels based on their dimensional features. The excellent empirical performance of our Deep Long Short-Term Memory (DLSTM) approach on various forecasting tasks motivated us to extend it to solve the forecasting problem through hierarchical architectures. Toward this target, we develop the DLSTM model in auto-encoder (AE) fashion and take full advantage of the hierarchical architecture for better time series forecasting. DLSTM-AE works as an alternative approach to traditional and machine learning approaches that have been used to manipulate hierarchical forecasting. However, training a DLSTM in hierarchical architectures requires updating the weight vectors for each LSTM cell, which is time-consuming and requires a large amount of data through several dimensions. Transfer learning can mitigate this problem by training first the time series at the bottom level of the hierarchy using the proposed DLSTM-AE approach. Then, we transfer the learned features to perform synchronous training for the time series of the upper levels of the hierarchy. To demonstrate the efficiency of the proposed approach, we compare its performance with existing approaches using two case studies related to the energy and tourism domains. An evaluation of all approaches was based on two criteria, namely, the forecasting accuracy and the ability to produce coherent forecasts through through the hierarchy. In both case studies, the proposed approach attained the highest accuracy results among all counterparts and produced more coherent forecasts.",7f20fc02-f4b9-41a5-9b45-2b4265d35f6e,34,57,https://pubmed.ncbi.nlm.nih.gov/34206750,,yes,23
